         19x16                    (19x16.dat)                                                                                                                                       
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
        5.73      0.3183      0.4985      0.0881      0.0563       0.011       0.707       0.366       8.361       0.080       1.628      19.852        0.08      30080.    0.3709  
        6.36      0.3537      0.5328      0.0863      0.0573       0.011       0.720       0.358       8.515       0.081       1.595      19.095        0.08      30148.    0.3531  
        7.00      0.3891      0.5636      0.0841      0.0581       0.012       0.729       0.349       8.631       0.082       1.554      18.365        0.08      30222.    0.3353  
        7.64      0.4245      0.5913      0.0815      0.0585       0.012       0.735       0.339       8.698       0.083       1.506      17.662        0.08      30301.    0.3174  
        8.27      0.4598      0.6161      0.0785      0.0586       0.012       0.736       0.326       8.708       0.083       1.451      16.987        0.08      30386.    0.2996  
        8.91      0.4952      0.6381      0.0751      0.0583       0.012       0.732       0.312       8.659       0.083       1.387      16.337        0.08      30477.    0.2818  
        9.55      0.5306      0.6574      0.0713      0.0575       0.011       0.723       0.296       8.549       0.082       1.317      15.709        0.08      30573.    0.2640  
       10.18      0.5659      0.6739      0.0672      0.0564       0.011       0.708       0.279       8.381       0.080       1.241      15.097        0.08      30675.    0.2463  
       10.82      0.6013      0.6875      0.0628      0.0549       0.011       0.689       0.261       8.157       0.078       1.160      14.496        0.08      30782.    0.2286  
       11.46      0.6367      0.6980      0.0581      0.0530       0.011       0.666       0.241       7.879       0.075       1.074      13.898        0.08      30895.    0.2109  
       12.09      0.6720      0.7049      0.0533      0.0508       0.010       0.638       0.221       7.552       0.072       0.985      13.297        0.08      31012.    0.1932  
       12.73      0.7074      0.7077      0.0483      0.0483       0.010       0.607       0.201       7.177       0.069       0.893      12.683        0.08      31135.    0.1755  
       13.36      0.7428      0.7058      0.0432      0.0455       0.009       0.571       0.179       6.755       0.065       0.798      12.047        0.08      31263.    0.1576  
       14.00      0.7782      0.6980      0.0380      0.0423       0.008       0.532       0.158       6.290       0.060       0.701      11.373        0.08      31397.    0.1395  
       14.64      0.8135      0.6828      0.0327      0.0389       0.008       0.489       0.136       5.781       0.055       0.603      10.640        0.08      31535.    0.1210  
       15.27      0.8489      0.6574      0.0273      0.0352       0.007       0.442       0.113       5.231       0.050       0.504       9.818        0.08      31679.    0.1020  
       15.91      0.8843      0.6178      0.0218      0.0312       0.006       0.392       0.091       4.642       0.044       0.403       8.857        0.08      31827.    0.0824  
       16.55      0.9196      0.5568      0.0164      0.0270       0.005       0.339       0.068       4.015       0.038       0.302       7.676        0.08      31981.    0.0618  
       17.18      0.9550      0.4609      0.0109      0.0226       0.004       0.283       0.045       3.354       0.032       0.201       6.118        0.08      32139.    0.0402  
       17.82      0.9904      0.3013      0.0055      0.0179       0.004       0.225       0.023       2.662       0.025       0.101       3.857        0.08      32302.    0.0179  
       18.46      1.0258      0.0040      0.0001      0.0131       0.003       0.164       0.000       1.941       0.019       0.001       0.050        0.08      32468.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0951      0.0402       0.064       2.021       1.580      47.827       0.228       7.028      14.985        0.15      59391.    0.5817  
        1.28      0.0356      0.0815      0.0948      0.0414       0.066       2.080       1.575      49.226       0.235       7.007      14.515        0.15      59442.    0.5626  
        2.56      0.0712      0.1576      0.0945      0.0427       0.068       2.144       1.570      50.735       0.242       6.982      14.033        0.15      59500.    0.5429  
        3.84      0.1068      0.2281      0.0941      0.0440       0.070       2.212       1.563      52.344       0.250       6.952      13.543        0.15      59567.    0.5228  
        5.12      0.1424      0.2931      0.0936      0.0455       0.072       2.284       1.555      54.037       0.258       6.915      13.049        0.15      59642.    0.5025  
        6.40      0.1780      0.3525      0.0930      0.0469       0.075       2.358       1.544      55.788       0.266       6.870      12.556        0.15      59727.    0.4819  
        7.68      0.2136      0.4066      0.0922      0.0484       0.077       2.433       1.532      57.566       0.275       6.813      12.069        0.15      59821.    0.4613  
        8.97      0.2492      0.4556      0.0913      0.0499       0.080       2.507       1.516      59.326       0.283       6.743      11.591        0.15      59926.    0.4407  
       10.25      0.2847      0.4997      0.0901      0.0513       0.082       2.578       1.496      61.012       0.291       6.656      11.125        0.15      60041.    0.4203  
       11.53      0.3203      0.5394      0.0886      0.0526       0.084       2.644       1.472      62.556       0.299       6.548      10.674        0.15      60168.    0.4000  
       12.81      0.3559      0.5750      0.0868      0.0537       0.086       2.700       1.442      63.879       0.305       6.415      10.241        0.15      60305.    0.3798  
       14.09      0.3915      0.6070      0.0846      0.0546       0.087       2.742       1.406      64.892       0.310       6.254       9.827        0.15      60454.    0.3598  
       15.37      0.4271      0.6356      0.0820      0.0551       0.088       2.769       1.362      65.512       0.313       6.060       9.433        0.15      60615.    0.3400  
       16.65      0.4627      0.6613      0.0790      0.0553       0.088       2.776       1.312      65.675       0.314       5.834       9.059        0.15      60787.    0.3204  
       17.93      0.4983      0.6842      0.0755      0.0550       0.088       2.762       1.254      65.350       0.312       5.578       8.703        0.15      60970.    0.3010  
       19.21      0.5339      0.7045      0.0716      0.0543       0.087       2.727       1.190      64.529       0.308       5.293       8.364        0.15      61165.    0.2818  
       20.49      0.5695      0.7222      0.0675      0.0532       0.085       2.672       1.121      63.225       0.302       4.984       8.039        0.15      61371.    0.2628  
       21.77      0.6051      0.7373      0.0630      0.0517       0.082       2.597       1.047      61.457       0.293       4.655       7.724        0.15      61587.    0.2440  
       23.05      0.6407      0.7495      0.0583      0.0498       0.079       2.504       0.969      59.246       0.283       4.309       7.416        0.15      61815.    0.2254  
       24.34      0.6763      0.7588      0.0534      0.0476       0.076       2.392       0.888      56.611       0.270       3.948       7.112        0.15      62053.    0.2069  
       25.62      0.7119      0.7645      0.0484      0.0451       0.072       2.264       0.804      53.571       0.256       3.576       6.808        0.15      62302.    0.1885  
       26.90      0.7475      0.7662      0.0432      0.0422       0.067       2.119       0.718      50.138       0.239       3.195       6.497        0.15      62561.    0.1701  
       28.18      0.7831      0.7628      0.0380      0.0390       0.062       1.958       0.631      46.326       0.221       2.805       6.175        0.16      62831.    0.1514  
       29.46      0.8186      0.7529      0.0326      0.0355       0.057       1.781       0.542      42.147       0.201       2.410       5.830        0.16      63111.    0.1325  
       30.74      0.8542      0.7340      0.0272      0.0316       0.050       1.590       0.452      37.614       0.180       2.009       5.447        0.16      63402.    0.1131  
       32.02      0.8898      0.7020      0.0217      0.0275       0.044       1.384       0.361      32.741       0.156       1.606       5.000        0.16      63702.    0.0928  
       33.30      0.9254      0.6487      0.0162      0.0232       0.037       1.164       0.270      27.550       0.132       1.201       4.444        0.16      64012.    0.0713  
       34.58      0.9610      0.5578      0.0108      0.0186       0.030       0.932       0.179      22.063       0.105       0.796       3.679        0.16      64332.    0.0481  
       35.86      0.9966      0.3873      0.0053      0.0137       0.022       0.689       0.089      16.311       0.078       0.394       2.463        0.16      64662.    0.0226  
       37.14      1.0322     -0.0081     -0.0001      0.0087       0.014       0.435      -0.001      10.298       0.049      -0.005      -0.050        0.16      64995.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       3000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0953      0.0386       0.208       4.366       3.563     154.954       0.493      15.848      10.429        0.23      89085.    0.6080  
        1.93      0.0357      0.0852      0.0951      0.0398       0.214       4.500       3.553     159.718       0.508      15.803      10.090        0.23      89162.    0.5873  
        3.85      0.0713      0.1645      0.0947      0.0411       0.221       4.645       3.541     164.867       0.525      15.750       9.742        0.23      89250.    0.5661  
        5.78      0.1070      0.2378      0.0943      0.0425       0.228       4.800       3.526     170.366       0.542      15.686       9.389        0.23      89350.    0.5445  
        7.70      0.1427      0.3050      0.0939      0.0439       0.236       4.963       3.509     176.165       0.561      15.607       9.034        0.23      89463.    0.5226  
        9.63      0.1784      0.3664      0.0933      0.0454       0.244       5.133       3.487     182.181       0.580      15.509       8.681        0.23      89591.    0.5006  
       11.55      0.2140      0.4220      0.0926      0.0469       0.253       5.305       3.459     188.305       0.599      15.387       8.333        0.23      89733.    0.4786  
       13.48      0.2497      0.4722      0.0916      0.0485       0.261       5.477       3.425     194.385       0.619      15.234       7.992        0.23      89891.    0.4567  
       15.40      0.2854      0.5173      0.0905      0.0499       0.269       5.641       3.382     200.234       0.637      15.042       7.660        0.23      90064.    0.4350  
       17.33      0.3211      0.5578      0.0890      0.0513       0.276       5.793       3.328     205.617       0.655      14.803       7.341        0.23      90255.    0.4136  
       19.26      0.3567      0.5939      0.0873      0.0524       0.282       5.924       3.262     210.261       0.669      14.507       7.036        0.23      90462.    0.3924  
       21.18      0.3924      0.6263      0.0851      0.0533       0.287       6.025       3.180     213.862       0.681      14.145       6.745        0.23      90686.    0.3714  
       23.11      0.4281      0.6553      0.0825      0.0539       0.290       6.089       3.083     216.129       0.688      13.711       6.469        0.23      90928.    0.3508  
       25.03      0.4638      0.6813      0.0794      0.0541       0.291       6.109       2.968     216.839       0.690      13.202       6.209        0.23      91187.    0.3303  
       26.96      0.4994      0.7047      0.0759      0.0538       0.289       6.082       2.838     215.876       0.687      12.623       5.963        0.23      91463.    0.3102  
       28.88      0.5351      0.7255      0.0721      0.0531       0.286       6.007       2.693     213.212       0.679      11.980       5.729        0.23      91757.    0.2904  
       30.81      0.5708      0.7438      0.0679      0.0521       0.280       5.885       2.536     208.883       0.665      11.281       5.507        0.23      92067.    0.2709  
       32.73      0.6065      0.7597      0.0634      0.0506       0.272       5.718       2.369     202.950       0.646      10.536       5.294        0.23      92393.    0.2516  
       34.66      0.6421      0.7730      0.0587      0.0487       0.262       5.508       2.192     195.484       0.622       9.752       5.087        0.23      92736.    0.2326  
       36.59      0.6778      0.7834      0.0537      0.0465       0.250       5.256       2.009     186.548       0.594       8.936       4.885        0.23      93095.    0.2138  
       38.51      0.7135      0.7908      0.0487      0.0439       0.236       4.964       1.820     176.198       0.561       8.093       4.684        0.23      93470.    0.1951  
       40.44      0.7492      0.7945      0.0435      0.0410       0.221       4.634       1.625     164.484       0.524       7.229       4.482        0.23      93861.    0.1764  
       42.36      0.7848      0.7937      0.0382      0.0378       0.203       4.267       1.427     151.446       0.482       6.347       4.274        0.23      94267.    0.1577  
       44.29      0.8205      0.7871      0.0328      0.0342       0.184       3.863       1.226     137.128       0.436       5.452       4.054        0.23      94689.    0.1386  
       46.21      0.8562      0.7724      0.0273      0.0303       0.163       3.425       1.022     121.573       0.387       4.545       3.812        0.23      95126.    0.1190  
       48.14      0.8918      0.7456      0.0218      0.0261       0.141       2.954       0.817     104.835       0.334       3.632       3.533        0.24      95579.    0.0986  
       50.07      0.9275      0.6989      0.0163      0.0217       0.117       2.451       0.611      86.983       0.277       2.716       3.184        0.24      96046.    0.0769  
       51.99      0.9632      0.6150      0.0108      0.0170       0.091       1.919       0.405      68.102       0.217       1.802       2.698        0.24      96528.    0.0530  
       53.92      0.9989      0.4461      0.0054      0.0120       0.065       1.361       0.201      48.299       0.154       0.894       1.887        0.24      97024.    0.0261  
       55.84      1.0345     -0.0082     -0.0001      0.0069       0.037       0.776      -0.002      27.540       0.088      -0.009      -0.033        0.24      97522.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       4000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0955      0.0378       0.482       7.597       6.348     359.544       0.858      28.234       8.007        0.30     118779.    0.6230  
        2.58      0.0358      0.0875      0.0953      0.0390       0.497       7.838       6.331     370.924       0.886      28.159       7.741        0.30     118881.    0.6015  
        5.15      0.0716      0.1688      0.0950      0.0403       0.514       8.098       6.311     383.246       0.915      28.071       7.469        0.30     118999.    0.5794  
        7.73      0.1074      0.2438      0.0946      0.0417       0.532       8.377       6.287     396.438       0.946      27.963       7.193        0.30     119133.    0.5569  
       10.31      0.1432      0.3126      0.0942      0.0432       0.550       8.672       6.257     410.379       0.980      27.831       6.915        0.30     119285.    0.5342  
       12.89      0.1791      0.3751      0.0936      0.0447       0.570       8.978       6.220     424.884       1.014      27.666       6.640        0.30     119456.    0.5114  
       15.46      0.2149      0.4317      0.0929      0.0462       0.590       9.291       6.173     439.685       1.050      27.457       6.368        0.30     119646.    0.4886  
       18.04      0.2507      0.4826      0.0920      0.0478       0.609       9.602       6.114     454.425       1.085      27.194       6.102        0.30     119858.    0.4660  
       20.62      0.2865      0.5283      0.0909      0.0493       0.628       9.903       6.039     468.647       1.119      26.861       5.845        0.30     120091.    0.4436  
       23.20      0.3223      0.5692      0.0895      0.0507       0.646      10.180       5.945     481.784       1.150      26.444       5.597        0.30     120346.    0.4214  
       25.77      0.3581      0.6056      0.0877      0.0519       0.661      10.421       5.828     493.163       1.177      25.923       5.360        0.30     120624.    0.3996  
       28.35      0.3939      0.6383      0.0855      0.0528       0.673      10.608       5.684     502.042       1.199      25.283       5.135        0.30     120926.    0.3781  
       30.93      0.4297      0.6675      0.0829      0.0534       0.681      10.728       5.510     507.704       1.212      24.510       4.923        0.30     121250.    0.3569  
       33.51      0.4655      0.6937      0.0799      0.0536       0.683      10.768       5.306     509.603       1.217      23.602       4.723        0.30     121598.    0.3360  
       36.08      0.5014      0.7173      0.0763      0.0534       0.680      10.723       5.073     507.443       1.211      22.565       4.535        0.31     121970.    0.3154  
       38.66      0.5372      0.7384      0.0724      0.0527       0.672      10.590       4.814     501.156       1.196      21.412       4.357        0.31     122364.    0.2952  
       41.24      0.5730      0.7571      0.0682      0.0516       0.658      10.371       4.532     490.819       1.172      20.158       4.188        0.31     122780.    0.2753  
       43.81      0.6088      0.7735      0.0637      0.0501       0.639      10.070       4.231     476.583       1.138      18.820       4.027        0.31     123219.    0.2558  
       46.39      0.6446      0.7873      0.0589      0.0482       0.615       9.691       3.914     458.611       1.095      17.411       3.871        0.31     123679.    0.2365  
       48.97      0.6804      0.7986      0.0539      0.0460       0.586       9.235       3.584     437.059       1.043      15.944       3.720        0.31     124161.    0.2175  
       51.55      0.7162      0.8069      0.0488      0.0433       0.553       8.707       3.244     412.062       0.984      14.429       3.571        0.31     124665.    0.1986  
       54.12      0.7520      0.8118      0.0436      0.0404       0.515       8.109       2.895     383.734       0.916      12.875       3.421        0.31     125190.    0.1798  
       56.70      0.7878      0.8126      0.0382      0.0370       0.472       7.442       2.538     352.180       0.841      11.290       3.269        0.31     125736.    0.1608  
       59.28      0.8237      0.8079      0.0327      0.0334       0.426       6.709       2.176     317.501       0.758       9.679       3.109        0.31     126302.    0.1416  
       61.86      0.8595      0.7956      0.0272      0.0294       0.375       5.912       1.810     279.806       0.668       8.051       2.934        0.31     126889.    0.1219  
       64.43      0.8953      0.7718      0.0217      0.0252       0.321       5.055       1.441     239.229       0.571       6.410       2.732        0.31     127497.    0.1013  
       67.01      0.9311      0.7284      0.0161      0.0206       0.263       4.140       1.071     195.939       0.468       4.764       2.480        0.31     128125.    0.0793  
       69.59      0.9669      0.6469      0.0106      0.0158       0.201       3.173       0.702     150.153       0.358       3.122       2.121        0.32     128772.    0.0549  
       72.17      1.0027      0.4715      0.0051      0.0107       0.137       2.158       0.336     102.134       0.244       1.493       1.490        0.32     129438.    0.0267  
       74.74      1.0385     -0.0933     -0.0005      0.0054       0.069       1.083      -0.032      51.266       0.122      -0.143      -0.285        0.32     130085.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       5000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0957      0.0374       0.931      11.739       9.940     694.423       1.326      44.214       6.492        0.38     148471.    0.6321  
        3.23      0.0359      0.0889      0.0955      0.0386       0.961      12.117       9.916     716.772       1.369      44.107       6.275        0.38     148599.    0.6102  
        6.47      0.0719      0.1716      0.0952      0.0399       0.994      12.527       9.887     741.030       1.415      43.980       6.052        0.38     148747.    0.5877  
        9.70      0.1078      0.2477      0.0949      0.0413       1.029      12.967       9.853     767.067       1.465      43.825       5.826        0.38     148916.    0.5648  
       12.93      0.1438      0.3175      0.0945      0.0428       1.066      13.433       9.810     794.662       1.518      43.633       5.599        0.38     149106.    0.5416  
       16.17      0.1797      0.3808      0.0940      0.0443       1.104      13.920       9.755     823.459       1.573      43.392       5.373        0.38     149320.    0.5183  
       19.40      0.2156      0.4381      0.0933      0.0459       1.144      14.419       9.686     852.940       1.629      43.084       5.151        0.38     149560.    0.4951  
       22.63      0.2516      0.4895      0.0924      0.0475       1.183      14.917       9.598     882.403       1.685      42.692       4.934        0.38     149826.    0.4720  
       25.87      0.2875      0.5356      0.0914      0.0490       1.222      15.399       9.485     910.932       1.740      42.191       4.723        0.38     150118.    0.4492  
       29.10      0.3235      0.5767      0.0900      0.0505       1.257      15.846       9.342     937.389       1.790      41.555       4.521        0.38     150440.    0.4267  
       32.33      0.3594      0.6134      0.0883      0.0517       1.288      16.235       9.163     960.414       1.834      40.757       4.327        0.38     150789.    0.4045  
       35.57      0.3953      0.6461      0.0861      0.0527       1.312      16.541       8.940     978.499       1.869      39.766       4.144        0.38     151169.    0.3827  
       38.80      0.4313      0.6755      0.0835      0.0533       1.328      16.739       8.670     990.182       1.891      38.564       3.971        0.38     151577.    0.3611  
       42.03      0.4672      0.7019      0.0804      0.0535       1.333      16.809       8.351     994.342       1.899      37.144       3.809        0.38     152015.    0.3399  
       45.27      0.5032      0.7257      0.0769      0.0533       1.328      16.742       7.985     990.361       1.891      35.515       3.657        0.38     152483.    0.3191  
       48.50      0.5391      0.7470      0.0730      0.0527       1.312      16.534       7.576     978.091       1.868      33.699       3.513        0.38     152979.    0.2986  
       51.73      0.5750      0.7660      0.0687      0.0516       1.284      16.189       7.132     957.683       1.829      31.721       3.378        0.38     153503.    0.2786  
       54.96      0.6110      0.7827      0.0641      0.0500       1.246      15.712       6.656     929.434       1.775      29.607       3.248        0.38     154055.    0.2588  
       58.20      0.6469      0.7971      0.0593      0.0481       1.198      15.107       6.155     893.678       1.707      27.379       3.124        0.38     154635.    0.2394  
       61.43      0.6829      0.8089      0.0543      0.0458       1.141      14.381       5.633     850.726       1.625      25.058       3.004        0.39     155242.    0.2202  
       64.66      0.7188      0.8179      0.0491      0.0431       1.074      13.538       5.094     800.852       1.530      22.660       2.885        0.39     155876.    0.2011  
       67.90      0.7547      0.8238      0.0437      0.0401       0.998      12.582       4.541     744.287       1.421      20.200       2.768        0.39     156536.    0.1821  
       71.13      0.7907      0.8257      0.0383      0.0367       0.914      11.516       3.977     681.243       1.301      17.690       2.648        0.39     157223.    0.1631  
       74.36      0.8266      0.8225      0.0328      0.0329       0.821      10.344       3.404     611.923       1.169      15.139       2.523        0.39     157937.    0.1437  
       77.60      0.8626      0.8120      0.0272      0.0289       0.720       9.070       2.824     536.551       1.025      12.559       2.387        0.39     158676.    0.1239  
       80.83      0.8985      0.7903      0.0216      0.0245       0.611       7.698       2.239     455.399       0.870       9.960       2.230        0.39     159440.    0.1031  
       84.06      0.9344      0.7494      0.0159      0.0199       0.495       6.235       1.653     368.812       0.704       7.355       2.033        0.39     160230.    0.0807  
       87.30      0.9704      0.6693      0.0103      0.0149       0.372       4.687       1.069     277.240       0.529       4.755       1.749        0.39     161044.    0.0558  
       90.53      1.0063      0.4859      0.0047      0.0098       0.243       3.063       0.489     181.216       0.346       2.176       1.224        0.40     161881.    0.0264  
       93.76      1.0423                                                                                                                                                            
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       6000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0960      0.0372       1.602      16.826      14.349    1194.449       1.901      63.823       5.449        0.45     178161.    0.6374  
        3.86      0.0358      0.0892      0.0958      0.0384       1.653      17.368      14.318    1232.881       1.962      63.686       5.267        0.45     178315.    0.6155  
        7.72      0.0715      0.1720      0.0955      0.0397       1.709      17.957      14.281    1274.683       2.029      63.523       5.082        0.45     178491.    0.5931  
       11.58      0.1073      0.2485      0.0952      0.0411       1.770      18.590      14.237    1319.671       2.100      63.326       4.893        0.45     178691.    0.5702  
       15.45      0.1431      0.3185      0.0949      0.0426       1.834      19.264      14.182    1367.504       2.176      63.080       4.704        0.45     178918.    0.5470  
       19.31      0.1788      0.3821      0.0944      0.0442       1.901      19.970      14.111    1417.618       2.256      62.767       4.515        0.45     179173.    0.5238  
       23.17      0.2146      0.4397      0.0938      0.0458       1.970      20.696      14.021    1469.166       2.338      62.366       4.329        0.45     179458.    0.5006  
       27.03      0.2504      0.4913      0.0930      0.0474       2.040      21.426      13.905    1520.971       2.421      61.848       4.147        0.45     179774.    0.4775  
       30.89      0.2861      0.5376      0.0920      0.0490       2.107      22.138      13.754    1571.479       2.501      61.180       3.970        0.45     180122.    0.4547  
       34.75      0.3219      0.5789      0.0907      0.0504       2.171      22.803      13.562    1618.737       2.576      60.322       3.800        0.45     180504.    0.4322  
       38.61      0.3577      0.6158      0.0891      0.0517       2.227      23.390      13.317    1660.385       2.643      59.232       3.638        0.46     180920.    0.4100  
       42.47      0.3934      0.6487      0.0870      0.0528       2.271      23.860      13.010    1693.771       2.696      57.868       3.484        0.46     181372.    0.3881  
       46.34      0.4292      0.6783      0.0845      0.0535       2.302      24.177      12.634    1716.273       2.732      56.197       3.339        0.46     181858.    0.3665  
       50.20      0.4650      0.7048      0.0815      0.0538       2.314      24.311      12.187    1725.800       2.747      54.206       3.203        0.46     182379.    0.3453  
       54.06      0.5008      0.7288      0.0781      0.0536       2.308      24.246      11.670    1721.134       2.739      51.906       3.075        0.46     182935.    0.3244  
       57.92      0.5365      0.7504      0.0742      0.0530       2.282      23.975      11.089    1701.902       2.709      49.326       2.955        0.46     183525.    0.3039  
       61.78      0.5723      0.7698      0.0699      0.0520       2.237      23.502      10.454    1668.315       2.655      46.501       2.842        0.46     184150.    0.2838  
       65.64      0.6081      0.7870      0.0654      0.0505       2.174      22.833       9.773    1620.871       2.580      43.471       2.735        0.46     184807.    0.2640  
       69.50      0.6438      0.8020      0.0606      0.0486       2.092      21.978       9.053    1560.162       2.483      40.269       2.632        0.46     185497.    0.2446  
       73.36      0.6796      0.8146      0.0555      0.0463       1.994      20.944       8.302    1486.750       2.366      36.927       2.533        0.46     186220.    0.2254  
       77.23      0.7154      0.8246      0.0503      0.0437       1.879      19.738       7.524    1401.128       2.230      33.468       2.436        0.46     186974.    0.2063  
       81.09      0.7511      0.8317      0.0450      0.0406       1.748      18.366       6.725    1303.723       2.075      29.914       2.340        0.46     187760.    0.1874  
       84.95      0.7869      0.8353      0.0395      0.0372       1.602      16.833       5.909    1194.908       1.902      26.283       2.243        0.47     188578.    0.1684  
       88.81      0.8227      0.8343      0.0340      0.0335       1.442      15.144       5.079    1075.042       1.711      22.591       2.143        0.47     189427.    0.1491  
       92.67      0.8584      0.8269      0.0283      0.0294       1.267      13.305       4.238     944.510       1.503      18.852       2.035        0.47     190306.    0.1294  
